Title,Runtime (Minutes)
Guardians of the Galaxy,121
Prometheus,124
Split,117
Sing,108
Suicide Squad,123
The Great Wall,103
La La Land,128
Mindhorn,89
The Lost City of Z,141
Passengers,116
Fantastic Beasts and Where to Find Them,133
Hidden Figures,127
Rogue One,133
Moana,107
Colossal,109
The Secret Life of Pets,87
Hacksaw Ridge,139
Jason Bourne,123
Lion,118
Arrival,116
Gold,120
Manchester by the Sea,137
Hounds of Love,108
Trolls,92
Independence Day: Resurgence,120
Paris pieds nus,83
Bahubali: The Beginning,159
Dead Awake,99
Bad Moms,100
Assassin's Creed,115
Why Him?,111
Nocturnal Animals,116
X-Men: Apocalypse,144
Deadpool,108
Resident Evil: The Final Chapter,107
Captain America: Civil War,147
Interstellar,169
Doctor Strange,115
The Magnificent Seven,132
5- 25- 77,113
Sausage Party,89
Moonlight,111
Don't Fuck in the Woods,73
The Founder,115
Lowriders,99
Pirates of the Caribbean: On Stranger Tides,136
Miss Sloane,132
Fallen,91
Star Trek Beyond,122
The Last Face,130
Star Wars: Episode VII - The Force Awakens,136
Underworld: Blood Wars,91
Mother's Day,118
John Wick,101
The Dark Knight,152
Silence,161
Don't Breathe,88
Me Before You,106
Their Finest,117
Sully,96
Batman v Superman: Dawn of Justice,151
The Autopsy of Jane Doe,86
The Girl on the Train,112
Fifty Shades of Grey,125
The Prestige,130
Kingsman: The Secret Service,129
Patriots Day,133
Mad Max: Fury Road,120
Wakefield,106
Deepwater Horizon,107
The Promise,133
Allied,124
A Monster Calls,108
Collateral Beauty,97
Zootopia,108
Pirates of the Caribbean: At World's End,169
The Avengers,143
Inglourious Basterds,153
Pirates of the Caribbean: Dead Man's Chest,151
Ghostbusters,116
Inception,148
Captain Fantastic,118
The Wolf of Wall Street,180
Gone Girl,149
Furious Seven,137
Jurassic World,124
Live by Night,129
Avatar,162
The Hateful Eight,187
The Accountant,128
Prisoners,153
Warcraft,123
The Help,146
War Dogs,114
Avengers: Age of Ultron,141
The Nice Guys,116
Kimi no na wa,106
The Void,90
Personal Shopper,105
The Departed,151
Legend,132
Thor,115
The Martian,144
Contratiempo,106
The Man from U.N.C.L.E.,116
Hell or High Water,102
The Comedian,120
The Legend of Tarzan,110
All We Had,105
Ex Machina,108
The Belko Experiment,89
12 Years a Slave,134
The Bad Batch,118
300,117
Harry Potter and the Deathly Hallows: Part 2,130
Office Christmas Party,105
The Neon Demon,118
Dangal,161
10 Cloverfield Lane,104
Finding Dory,97
Miss Peregrine's Home for Peculiar Children,127
Divergent,139
Mike and Dave Need Wedding Dates,98
Boyka: Undisputed IV,86
The Dark Knight Rises,164
The Jungle Book,106
Transformers: Age of Extinction,165
Nerve,96
Mamma Mia!,108
The Revenant,156
Fences,139
Into the Woods,125
The Shallows,86
Whiplash,107
Furious 6,130
The Place Beyond the Pines,140
No Country for Old Men,122
The Great Gatsby,143
Shutter Island,138
Brimstone,148
Star Trek,127
Diary of a Wimpy Kid,94
The Big Short,130
Room,118
Django Unchained,165
Ah-ga-ssi,144
The Edge of Seventeen,104
Watchmen,162
Superbad,113
Inferno,121
The BFG,117
The Hunger Games,142
White Girl,88
Sicario,121
Twin Peaks: The Missing Pieces,91
Aliens vs Predator - Requiem,94
Pacific Rim,131
Crazy Stupid Love,118
Scott Pilgrim vs. the World,112
Hot Fuzz,121
